store,name,county,population,total_sales_revenue,
4875,Bani's,Black Hawk,131090,$14.22 , -- opened in 2015 so possible the $14 was just a pratice transaction
5064,Casey's General Store #2777 / Fairfa,Linn,211226,$20.25 ,"Casey's stuggled with liquor licensing all throughout 2014 and licensing was not approved until the end of 2014, hence the low sales (in addition to low population)"
4460,MOORE'S FOODS,Clayton,18129,$22.98 ,
4948,Wheatland Day Break,Clinton,49116,$36.00 ,
4779,Casey's General Store #25 / Mount Ay,Ringgold,5131,$40.50 ,
4659,Casey's General Store #2802 / Conrad,Grundy,12453,$40.50 ,
4326,Stratford Food Center,Cedar,18499,$75.34 ,
4858,Hwy 34 Truckstop,Des Moines,40325,$82.44 ,
4221,Kwik Stop / Texas St,Black Hawk,131090,$85.56 ,
5075,Pronto Market  / New Sharon,Mahaska,22381,$91.48 ,
,population,(All),,,
,,,,,
,Row Labels,Sum of total_sales_revenue,,,
,Bani's,$14.22 ,,,
,Casey's General Store #25 / Mount Ay,$40.50 ,,,
,Casey's General Store #2777 / Fairfa,$20.25 ,,,
,Casey's General Store #2802 / Conrad,$40.50 ,,,
,Hwy 34 Truckstop,$82.44 ,,,
,Kwik Stop / Texas St,$85.56 ,,,
,MOORE'S FOODS,$22.98 ,,,
,Pronto Market  / New Sharon,$91.48 ,,,
,Stratford Food Center,$75.34 ,,,
,Wheatland Day Break,$36.00 ,,,
,Grand Total,$509.27 ,,,
